Model,Params,Val_MAE,Val_RMSE,Val_R2
HybridPreferenceBias,"{'alpha': 0.6, 'beta': 0.3, 'gamma': 0.1, 'base_params': {'reg': 20, 'n_epochs': 20, 'lr': 0.006, 'random_state': 42}, 'content_params': {'w_category': 0.45, 'w_price': 0.2, 'w_popularity': 0.25, 'w_public': 0.1, 'smoothing': 8.0}}",1.25119947898262,1.447167830886413,-0.08571907462793749
HybridPreferenceMF,"{'alpha': 0.5, 'beta': 0.4, 'gamma': 0.1, 'base_params': {'n_factors': 16, 'n_epochs': 45, 'lr': 0.003, 'reg': 0.12, 'random_state': 42}, 'content_params': {'w_category': 0.6, 'w_price': 0.1, 'w_popularity': 0.25, 'w_public': 0.05, 'smoothing': 5.0}}",1.2510446088027176,1.448940055111373,-0.08837987977977013
UserPreferenceContent,"{'w_category': 0.45, 'w_price': 0.2, 'w_popularity': 0.25, 'w_public': 0.1, 'smoothing': 8.0}",1.2459524850022112,1.4497431077098966,-0.08958664950820072
HybridPreferenceMF,"{'alpha': 0.6, 'beta': 0.3, 'gamma': 0.1, 'base_params': {'n_factors': 12, 'n_epochs': 40, 'lr': 0.004, 'reg': 0.1, 'random_state': 42}, 'content_params': {'w_category': 0.45, 'w_price': 0.2, 'w_popularity': 0.25, 'w_public': 0.1, 'smoothing': 8.0}}",1.2542339505468676,1.4521645662728455,-0.09322949121706081
HybridPreferenceBias,"{'alpha': 0.5, 'beta': 0.4, 'gamma': 0.1, 'base_params': {'reg': 15, 'n_epochs': 20, 'lr': 0.007, 'random_state': 42}, 'content_params': {'w_category': 0.6, 'w_price': 0.1, 'w_popularity': 0.25, 'w_public': 0.05, 'smoothing': 5.0}}",1.2548950419128229,1.453877484232972,-0.09581007595887203
HybridPreferenceBias,"{'alpha': 0.7, 'beta': 0.2, 'gamma': 0.1, 'base_params': {'reg': 15, 'n_epochs': 20, 'lr': 0.007, 'random_state': 42}, 'content_params': {'w_category': 0.55, 'w_price': 0.15, 'w_popularity': 0.2, 'w_public': 0.1, 'smoothing': 5.0}}",1.259879082380505,1.4583794879449965,-0.10260704372372076
UserPreferenceContent,"{'w_category': 0.55, 'w_price': 0.15, 'w_popularity': 0.2, 'w_public': 0.1, 'smoothing': 5.0}",1.2528284306128759,1.4605287792336286,-0.10585937962254999
MatrixFactorization,"{'n_factors': 16, 'n_epochs': 45, 'lr': 0.003, 'reg': 0.12, 'random_state': 42}",1.2629762625706038,1.4620877436382638,-0.10822142209356445
UserPreferenceContent,"{'w_category': 0.6, 'w_price': 0.1, 'w_popularity': 0.25, 'w_public': 0.05, 'smoothing': 5.0}",1.2544921120694799,1.4626057356223259,-0.10900680792774176
HybridPreferenceMF,"{'alpha': 0.7, 'beta': 0.2, 'gamma': 0.1, 'base_params': {'n_factors': 8, 'n_epochs': 35, 'lr': 0.005, 'reg': 0.08, 'random_state': 42}, 'content_params': {'w_category': 0.55, 'w_price': 0.15, 'w_popularity': 0.2, 'w_public': 0.1, 'smoothing': 5.0}}",1.2628598504474555,1.4631627385025443,-0.10985165297932964
BiasBaseline,"{'reg': 20, 'n_epochs': 20, 'lr': 0.006, 'random_state': 42}",1.2642995618111905,1.463497452027836,-0.1103594910205099
BiasBaseline,"{'reg': 8, 'n_epochs': 15, 'lr': 0.008, 'random_state': 42}",1.2648395755519415,1.4642156805010844,-0.11144960223334044
MatrixFactorization,"{'n_factors': 12, 'n_epochs': 40, 'lr': 0.004, 'reg': 0.1, 'random_state': 42}",1.2698734704103463,1.472446498214522,-0.12398033999550995
BiasBaseline,"{'reg': 15, 'n_epochs': 20, 'lr': 0.007, 'random_state': 42}",1.271350808494577,1.4733608886176532,-0.12537675875345888
MatrixFactorization,"{'n_factors': 8, 'n_epochs': 35, 'lr': 0.005, 'reg': 0.08, 'random_state': 42}",1.275700926910442,1.480631813274671,-0.13651146413315485
